Date,Description,Amount,Category,Account,Notes
2024-11-01,Grocery Store,-125.50,Groceries,Checking,Weekly groceries
2024-11-02,Gas Station,-45.00,Auto & Transport,Credit Card 1,Fill up
2024-11-03,Salary Deposit,3500.00,Income,Checking,Bi-weekly paycheck
2024-11-05,Electric Company,-120.00,Bills & Utilities,Checking,Monthly bill
2024-11-07,Restaurant,-65.00,Dining & Drinks,Credit Card 1,Dinner out
2024-11-10,Online Shopping,-89.99,Shopping,Credit Card 2,Household items
2024-11-15,Streaming Service,-15.99,Entertainment & Rec.,Checking,Monthly subscription
2024-11-17,Salary Deposit,3500.00,Income,Checking,Bi-weekly paycheck
2025-11-23,TSP & OPM deposits,50.0,Auto & Transport,Budget Import,Imported from Sample_Budget.xlsx
2025-11-23,TSP & OPM deposits,348.0,Bills & Utilities,Budget Import,Imported from Sample_Budget.xlsx
2025-11-23,TSP & OPM deposits,80.0,Groceries,Budget Import,Imported from Sample_Budget.xlsx
2025-11-23,TSP & OPM deposits,200.0,Savings & Investments,Budget Import,Imported from Sample_Budget.xlsx
2025-11-23,TSP & OPM deposits,1708.0,Income,Budget Import,Imported from Sample_Budget.xlsx
2025-12-01,visa,-63.8,Auto & Transport,Budget Import,Imported from Sample_Budget.xlsx
2025-12-01,visa,-298.5,Bills & Utilities,Budget Import,Imported from Sample_Budget.xlsx
2025-12-01,visa,-45.0,Groceries,Budget Import,Imported from Sample_Budget.xlsx
2025-12-01,visa,-15.99,Entertainment,Budget Import,Imported from Sample_Budget.xlsx
2025-12-01,visa,-145.28,Savings & Investments,Budget Import,Imported from Sample_Budget.xlsx
2025-12-01,visa,-552.58,Income,Budget Import,Imported from Sample_Budget.xlsx
2025-12-05,Bills & Utilities - 2025-12-05,120.0,Bills & Utilities,Budget Import,Imported from Sample_Budget.xlsx
2025-12-05,Groceries - 2025-12-05,55.0,Groceries,Budget Import,Imported from Sample_Budget.xlsx
2025-12-05,Healthcare & Medical - 2025-12-05,45.0,Healthcare & Medical,Budget Import,Imported from Sample_Budget.xlsx
2025-12-10,salary,500.0,Savings & Investments,Budget Import,Imported from Sample_Budget.xlsx
2025-12-10,salary,3500.0,Income,Budget Import,Imported from Sample_Budget.xlsx
